CODE_INSEE,LIBCOM,DEP,COUVERTURE_MOBILE
01001,L'Abergement-Clémenciat,01,0.0
01002,L'Abergement-de-Varey,01,0.5
01004,Ambérieu-en-Bugey,01,1.0
01005,Ambérieux-en-Dombes,01,1.0
01006,Ambléon,01,0.8
01007,Ambronay,01,1.0
01008,Ambutrix,01,0.0
01009,Andert-et-Condon,01,0.0
01010,Anglefort,01,1.0
01011,Apremont,01,0.5
01012,Aranc,01,0.9
01013,Arandas,01,0.4
01014,Arbent,01,1.0
01015,Arboys en Bugey,01,0.0
01016,Arbigny,01,0.0
01017,Argis,01,0.0
01019,Armix,01,0.0
01021,Ars-sur-Formans,01,1.0
01022,Artemare,01,0.0
01023,Asnières-sur-Saône,01,0.0
01024,Attignat,01,1.0
01025,Bâgé-Dommartin,01,1.0
01026,Bâgé-le-Châtel,01,0.0
01027,Balan,01,1.0
01028,Baneins,01,0.0
01029,Beaupont,01,0.0
01030,Beauregard,01,0.0
01031,Bellignat,01,0.9
01032,Béligneux,01,1.0
01033,Valserhône,01,1.0
01034,Belley,01,1.0
01035,Belleydoux,01,0.0
01036,Valromey-sur-Séran,01,1.0
01037,Bénonces,01,0.9
01038,Bény,01,1.0
01039,Béon,01,0.0
01040,Béréziat,01,0.8
01041,Bettant,01,1.0
01042,Bey,01,1.0
01043,Beynost,01,1.0
01044,Billiat,01,0.0
01045,Birieux,01,0.0
01046,Biziat,01,0.0
01047,Blyes,01,1.0
01049,La Boisse,01,1.0
01050,Boissey,01,0.0
01051,Bolozon,01,0.0
01052,Bouligneux,01,0.0
01053,Bourg-en-Bresse,01,1.0
01054,Bourg-Saint-Christophe,01,0.0
01056,Boyeux-Saint-Jérôme,01,0.0
01057,Boz,01,0.0
01058,Brégnier-Cordon,01,0.0
01060,Brénod,01,0.4
01061,Brens,01,0.8
01062,Bressolles,01,0.0
01063,Brion,01,0.0
01064,Briord,01,0.0
01065,Buellas,01,1.0
01066,La Burbanche,01,1.0
01067,Ceignes,01,0.8
01068,Cerdon,01,1.0
01069,Certines,01,0.0
01071,Cessy,01,1.0
01072,Ceyzériat,01,0.9
01073,Ceyzérieu,01,0.0
01074,Chalamont,01,1.0
01075,Chaleins,01,0.0
01076,Chaley,01,0.0
01077,Challes-la-Montagne,01,0.0
01078,Challex,01,1.0
01079,Champagne-en-Valromey,01,0.0
01080,Champdor-Corcelles,01,0.0
01081,Champfromier,01,1.0
01082,Chanay,01,0.0
01083,Chaneins,01,1.0
01084,Chanoz-Châtenay,01,0.0
01085,La Chapelle-du-Châtelard,01,0.0
01087,Charix,01,0.8
01088,Charnoz-sur-Ain,01,0.0
01089,Château-Gaillard,01,1.0
01090,Châtenay,01,0.0
01092,Châtillon-la-Palud,01,1.0
01093,Châtillon-sur-Chalaronne,01,1.0
01094,Chavannes-sur-Reyssouze,01,0.0
01095,Nivigne et Suran,01,0.0
01096,Chaveyriat,01,1.0
01098,Chazey-Bons,01,1.0
01099,Chazey-sur-Ain,01,1.0
01100,Cheignieu-la-Balme,01,0.3
01101,Chevillard,01,0.0
01102,Chevroux,01,1.0
01103,Chevry,01,1.0
01104,Chézery-Forens,01,0.5
01105,Civrieux,01,1.0
01106,Cize,01,0.0
01107,Cleyzieu,01,0.0
01108,Coligny,01,0.9
01109,Collonges,01,0.0
01110,Colomieu,01,0.0
01111,Conand,01,0.0
01112,Condamine,01,0.0
01113,Condeissiat,01,1.0
01114,Confort,01,0.0
01115,Confrançon,01,0.9
01116,Contrevoz,01,0.0
01117,Conzieu,01,1.0
01118,Corbonod,01,0.0
01121,Corlier,01,0.0
01123,Cormoranche-sur-Saône,01,0.9
01124,Cormoz,01,0.0
01125,Corveissiat,01,0.5
01127,Courmangoux,01,0.0
01128,Courtes,01,1.0
01129,Crans,01,0.0
01130,Bresse Vallons,01,0.0
01133,Cressin-Rochefort,01,0.0
01134,Crottet,01,0.0
01135,Crozet,01,1.0
01136,Cruzilles-lès-Mépillat,01,0.8
01138,Culoz,01,1.0
01139,Curciat-Dongalon,01,0.0
01140,Curtafond,01,1.0
01141,Cuzieu,01,0.0
01142,Dagneux,01,0.9
01143,Divonne-les-Bains,01,1.0
