Operateur;X;Y;C2G;C3G;C4G
34001;-63.0404;18.1091;1;1;1
34001;-63.0853;18.0664;1;1;1
34001;-63.0277;18.1015;1;1;1
34001;-63.0803;18.0722;1;1;1
34001;-63.0682;18.0902;1;1;1
34001;-63.0385;18.1022;1;1;1
34001;-63.1516;18.0623;1;1;1
34001;-63.0759;18.0808;1;1;1
34001;-63.1104;18.0609;1;1;1
34001;-63.0867;18.0594;1;1;1
34001;-63.1267;18.0656;1;1;1
34001;-63.0326;18.0687;1;1;1
34001;-63.0142;18.0576;1;1;1
34001;-63.1226;18.0673;1;1;1
34001;-63.0856;18.0474;1;1;1
34001;-63.0507;18.0773;1;0;1
34001;-63.0708;18.0566;1;0;0
34020;-63.1269519;18.0658345;1;1;1
34020;-63.0350075;18.1080567;1;1;1
34020;-63.0333408;18.0675012;1;1;1
34020;-63.0683409;18.090279;1;1;1
34020;-63.0755631;18.0808346;1;1;1
34020;-63.1515874;18.0623932;1;1;1
34020;-63.0813964;18.0650012;1;1;1
34020;-63.050563;18.0775012;1;1;1
34020;-63.0408408;18.1063902;1;1;1
34020;-63.0920639;18.0605598;1;1;1
34008;-63.0819445;18.065;1;1;1
34008;-63.0841667;18.0627778;0;1;1
34008;-63.0383333;18.1019444;1;1;1
34008;-63.0680556;18.09;1;1;1
34008;-63.0330556;18.0672222;1;1;1
34008;-63.1;18.0572222;0;1;1
34008;-63.0388889;18.1163889;0;1;1
34008;-63.0251639;18.08665;1;1;0
34008;-63.1380556;18.0544444;0;1;1
34008;-63.0838889;18.0686111;1;1;1
34008;-63.1513889;18.0622222;1;1;0
34008;-63.0311111;18.0883333;1;0;0
34008;-63.1266667;18.0658333;0;1;1
34008;-63.0212639;18.0507111;0;1;1
