id,nom,ville,page,code_postal
91,CENTRE SOCIAL DES GRANDES BORNES, Goussainville,0,95190 
92,CENTRE SOCIAL ARCHIPELIA, PARIS 20EME ARRONDISSEMENT,0,75020 
93,Espace Socioculturel Val de Charente, Ruffec,0,16700 
94,CENTRE SOCIAL Maison Des Habitants Champaret, Bourgoin,0,38300 
95,CENTRE SOCIAL MAISON DE LA CHALLE, Éragny,0,95610 
96,CENTRE SOCIAL ODETTE BRACHET, Morestel,0,38510 
97,Centre Socioculturel  LES PORTES DU MIDI  - VITRY, Vitry,0,94400 
98,Centre socioculturel CLARA ZETKIN, Villetaneuse,0,93430 
99,CS JACQUES MELI, Martigues,0,13500 
100,Le QUAI-Centre social et Culturel du Sablon, Metz,0,57000 
101,MAISON POUR TOUS, Lillers,0,62190 
102,MJC CLUB DE CRETEIL  CROIX DES MECHES, Créteil,0,94000 
103,C S C DE L ESTEY, Bègles,0,33130 
105,CENTRE SOCIAL  SAINT-ELOI/BEAUREGARD, Rochelle,0,17000 
107,CENTRE SOCIAL ET CULTUREL CAP GENERATIONS, Châtillon,0,69380 
108,LARC Ensemble, Villeneuve,0,59650 
110,CS LES FLORALIES, Marly,0,59770 
111,Centre Social Marcel Bertrand, Lille,0,59000 
113,CS ROUGEMONT, Sevran,0,93270 
114,CENTRE SOCIAL DE MERVILLE, Merville,0,59660 
117,CENTRE SOCIAL  MAIMAT, Muret,0,31600 
118,CENTRE SOCIAL REVIVRE, Vans,0,07140 
119,CENTRE SOCIOCULTUREL LA PINÈDE, Villeneuve,0,07170 
120,CENTRE SOCIO-CULTUREL CLEFS (culture loisirs enfance famille solidarité), Teil,0,07400 
121,Centre Social de l'Ile du Battoir, Beaurepaire,0,38270 
3,MJC CENTRE SOCIAL LA VOULTE-SUR-RHONE, Voulte,1,07800 
60,Centre Social Duchere Plateau René Maugius, LYON 9EME ARRONDISSEMENT,1,69009 
61,LES PLANETES MAISONS ALFORT, Maisons,1,94700 
64,centre social des trois quartiers, Tourcoing,1,59200 
65,CENTRE SOCIAL DU PARC DE LA JEUNESSE, Caluire,1,69300 
